text,emotion
"""Hoy Matsing! Bigyan mo naman ako,"" sigaw ni Pagong.",2
"""Balat man kung malinamnam,  hindi kita hahagisan,"" sagot ni Matsing.",2
Nagalit si Pagong sa sagot ni Matsing.,2
"""Salbahe ka, Pagong! Magbabayad ka!""",2
"""Dahil sa ginawa mo,"" sabi ni Matsing, ""tatadtarin kita nang pinong-pino.""",2
"""Alam ko na! Iluluto na lang kita. Iluluto kita hanggang mamatay ka!""",2
"""A, hindi! hahagis na lang kita sa ilog para ikaw ay malunod,"" sabi ni Matsing.",2
"""Tama na!"" napasigaw si Ching ng malakas sa kanya kuya",2
Hinampas ni Kikay ang pintuan nang malaman niyang nawawala ang kanyang tsokolate.,2
Nagngingitngit si Pinggoy dahil sinaktan siya ng kaibigan.,2
Sumigaw si Tintin nang madapa at mabasag ang kanyang laruan.,2
Nagdabog si Bongbong nang hindi makuha ang gusto niyang laruan.,2
Umiiyak si Tina dahil sa sobrang inis sa kanyang kapatid.,2
Naglalakad si Juan ng mabilis sa sobrang galit sa kanyang kaibigan,2
Binuksan ni Tatay ang pinto ng bahay,2
"""Ayaw ko na maglaro sa'yo! Umalis ka na lang.""",2
"""Nakakainis ang ginawa mo! Hindi kita kaibigan.""",2
"""Grabe ka magalit! Hindi mo kailangang sumigaw ng ganun.""",2
"""Tama na!"" galit na galit niyang sinabi",2
"""Grrr! Ayoko na! """,2
Nagtampo si Miguel nang hindi siya pinili bilang kapitan ng kanilang team sa laro.",2
Nagsungit si Gino nang hindi makuha ang gusto niyang laruan sa tindahan.,2
Nagmukmok si Ching sa isang sulok ng pinagalitan ng kanyang ina,2
"""Nakakainis!"" sabi ni Kiko nang madapa siya sa putik habang naglalaro.",2
"""Ayokong pakasal sa prinsesa! Ayokong pakasal sa prinsesa!""  sigaw ni Pilandok.",2
"Hindi na ako malulungkot, sigaw ni Bathala na tuwang-tuwa.",3
Tuwang-tuwa ang mga tao sa ginawang himala ni Bathala.,3
Noon lamang sila nakakita ng ganoon kagandang tala.,3
Magpugay tayo sa kanya! sabi ng isa.,3
Isinilang na ang Hari ng mga Hari!,3
Tuwang-tuwa sila na makita ang Hari ng mga Hari.,3
"Sa lahat ng aking mga pinsan, siya ang aking hinahangaan. ",3
Bilib na bilib ako kay Raquel. ,3
"Wow? Ang galing-galing,",3
Wiling wili ako sa pakikinig at pangangarap ng sinasabi niyang pambihirang daigdig. ,3
May ngiti na uli ang kaniyang labi.,3
"Masayang nagigising, nanggigising na masaya,",3
Tuwang-tuwa si Poknoy Palaka.,3
Iyon lang at masaya nang nagtatalon palayo si Poknoy Palaka.,3
"""Nagustuhan mo ba ang aking kuwento, apo?"" ""Opo, lola!""",3
Upang may makain silang masarap na keso araw-araw.,3
Nagtawanan lamang ang mga kawal.,3
"""Ang sarap mag-aliw!",3
pakanta-kanta at patalon-talon.,3
Mahal na mahal ni Tiya Justa ang dalawa,3
"""Pakakasalan daw ng Prinsipe ang may-ari ng sapatos,"" nasasabik na sabi ng dalawang kapatid ni Maria.",3
Ipinahanda ang isang maringal na kasal.,3
"Dumalo sa palasyo ang mga tao para tingnan ang magandang asawa ng Prinsipe, ang magandang si Mariang Alimango.",3
At nanaginip si Datu Usman ng isang malaki't gintong sarimanok.,3
"""Magkano, magkano ang manok mo?"" sabik na tanong ng datu.",3
Tinapik pa uli ng datu ang manok bago ito pakawalan sa silid at lumabas ang ikaapat na butil ng ginto!,3
Napanaginip niya ang mahiwagang manok at punong-puno ng ginto ang silid nito!,3
Maraming kalaro si Tiktaktok.,3
"""Ang sarap,""",3
Naging magkaibigan na sila.,3
At tumawa nang tumawa habang mabilis na tumatakbo.,3
Ikaw ang matapang kong Beybi Dan!",3
"Kahanga-hanga ang pagkakagawa, sabi nito.",3
Bago matulog ay pinainom niya ng gamot si Jelina at nagpasalamat sa Diyos sa biyaya nito sa araw na iyon.,3
Tapos na ang mga iyon at kamangha-mangha dahil sa pulidong pagkagawa.,3
"""Napakaganda at walang kaparis ang mga sapatos mo,"" wika ng mamimili.",3
"""Irerekomenda ko sa aking ma kakilala na dito na sila bumili.""",3
"""Maraming salamat po,"" natutuwang sabi ni Donillo.",3
"Matapos painumin ng gamot si Jelina, nagdasal ng pasasalamat si Donillo bago matulog.",3
Paggising niya ay apat na pares ng magaganda at kakaibang sapatos ang nakadispley sa kanyang tindahan.,3
Dumami ang mga mamimili ni Donillo. ,3
Nabawi na rin niya ang perang naubos sa pagpapagamot ni Jelina.,3
"""Malaki ang utang na loob natin sa kung sinumang tumutulong sa atin,"" wika ni Donillo.",3
Nagsayawan sa tuwa ang dalawang dwende.,3
"""Nagustuhan n'yo ba?"" nakangiting tanong ni Jelina. Tumango ang dalawa at yumuko.",3
Mula noon ay lalong naging popular ang pagawaan ng sapatos ni Donillo. ,3
Naging popular din ang dalawang dwende na araw-araw ay iba ang isinusuot na damit dahil itinatahi sila ni Jelina.,3
"Sa wakas, nakainom din si Maya.",3
Tuwang-tuwa si Ching! ,3
Makinang ang mga ito sa dilim!,3
Tumingala si Ching at namangha siya sa kaniyang nakita,3
Ang dami palang makikita kahit madilim!" manghang nasabi ni Ching sa sarili,3
"Maya-maya pa, may naghiyawan sa mga kapitbahay at halos sabay-sabay na lumiwanag ang mga kabahayan, ",3
Laking tuwa niya nang makatagpo siya ng sombrero.,3
Nagtawa nang malakas si Matsing,3
Malungkot si Bathala.,4
"Ngunit, madilim at malamig ang mundo.",4
Naawa sa kanila si Bathala.,4
Hindi alam nila Raquel naiinggit ako sa kaniya. ,4
Bakit kaya wala ako ng mga meron siya? ,4
"Tuloy, pag ikinokompara ko ang sarili ko kay Raqeul, parang ang layo-layo ko.",4
Umiyak ako nang umiyak kay Nanay.,4
"Talagang gano'n, sagot ni Nanay, ""kahit ang mga bata ay hindi puwera sa kanser."" ",4
At pinahid niya ang aking mga luha.,4
Ang bukod tanging nagmumukmok.,4
"Humingi nga ng paumanhin ang kawal kay Poknoy Palaka, ""magmula ngayon, hindi na kita paglalaruan..."" ang sabi pa nito.",4
"Pero pagdating sa lupa ni Daginding, walang maniwalang sa buwan siya galing.",4
Pinipilit ako ng Datu na ipakasal sa anak niya.,4
"Pero ayokong makasal, alangan ako sa prinsesa",4
Agad nilang itinapon sa dagat ang kawawang negosyante.,4
At saka kumatok na naghihinagpis.,4
Naawa si Langgam sa kaniyang nakita.,4
"Ngayon, pobreng-pobre ang dating masaya.",4
"""Ako'y hiyang-hiya,"" sabi ni Tipaklong",4
Isang kawawang dalaga si Maria.,4
Bata pa siya nang mamatay ang kaniyang ina.,4
Mahal na mahal ni Tiya Justa ang dalawa habang si Maria ay itinatratong parang alila.,4
Umiiyak si Maria,4
"Huwag kang malungkot, sabi ng alimango",4
"Sa tindi ng lungkot, iniutos ng Prinsipe na hanapin ang may-ari ng kabiyak na sapatos.",4
At ibinilanggo nila ang maraming mahihirap dahil walang maibigay na ginto.,4
Awang-awa si Pilandok sa taumbayan,4
Inggit na inggit siya sa mahabang buntot ng iba at ikinahihiya naman ang buntot niya.,4
"""Mas maikli pa sa palito ng posporo,"" madalas niyang himutok.",4
"""Kase, malas ako.",4
Waaa! biglang iyak ng bulate.,4
"""Walang tenga, walang ilong, walang paa. Kaya mas malas ako kaysa iyo.""",4
"Pero magkaiba ang ugali nila Kaya madalas, nag-aaway sila.",4
"Pahingi naman, sigaw ni Tiktaktok.",4
Bigyan mo ako kahit konti.,4
"Nang hindi makita ang kapatid, naupo na lamang si Tiktaktok.",4
Kawawang Beybi Dan! Umupo siya at parang maiiyak na!,4
Matagal na silang nagsasama pero wala pa ring anak.,4
Isang araw ay nagkasakit si Jelina.,4
Ang sakit niya ay tumagal at lumubha hanggang naubos ang ipon nila sa pagpapagamot.,4
Wala ng pera si Donillo,4
"Kailangan ni Jelina ng gamot,"" malungkot na sabi ng lalaki.",4
Pero pagod na pagod na ako.,4
"""Naubos na ang ipon natin sa pagpapagamot ko.""",4
May isang basong tubig at limang ibon na uhaw na uhaw.,4
Maliit si Maya. Maikli ang kaniyang tuka. Mataas ang baso at mababa ang tubig sa loob.,4
Malungkot na malungkot si Matsing.,4
"Pagkaraan ng ilang araw, namatay ang tanim ni Matsing.",4
Nalanta ang mga dahon at nabulok ang puno nito.,4
Malungkot si Matsing nang dumalaw kay Pagong.,4
Hu! Hu! Hu! iyak ni Matsing.,4
"""Tingnan mo ang tanim ko, ang daming bunga. Tulungan mo na lang akong mamitas at hahatian kita sa bunga.""",4
Napalundag sa tuwa si Matsing.,4
Itinapon agad niya sa ilog ang kawawang si Pagong.,4
Boses ba ang masahol pa Sa may kalawang na palakol?",5
Eeeeek! Palaka!,5
Sumuka siya nang sumuka hanggang maubos ang tubig sa kaniyang tiyan.,5
"Sa halip na ginto, puro dumi at tae ng manok ang silid.",5
Natae pa ang manok sa kamay ng datu.,5
"""Masamang kainin ang karneng iyon dahil bulok na at may lason pa sa daga,"" sabi ng matadero.",5
"""Aruy ko po! Ang sakit ng tyan ko!"" sabi ni Pikpakbum.",5
Diniinan niya ito sa tiyan hanggang magsuka nang magsuka.,5
Napakaraming nagkalat na mabahong basura sa labas.,5
Nainis si Maria nang makita ang maraming kalat sa kanyang silid,5
Nandidiri si Franz sa amoy ng bagoong.,5
Si Juan ay napapailing nang makakita ng maruming kalsada.,5
Hindi nagustuhan ni Marco ang lasa ng kakaibang prutas na kanyang tinikman.,5
Hindi gusto ni Mia ang amoy ng mantsa sa kanyang paboritong damit.,5
Si Princess Lala ay nandidiri sa kanyang kinakain na gulay.,5
Sinaway ni Clara ang kanyang kaibigan dahil sa kanyang maduming sapatos.,5
Sobrang pangit ng amoy ng basurang tinapon ni Kyla sa kanilang bakuran.,5
Nakakasuka ang amoy ng kinainang durian ni Benjie.,5
Sa daanan dumudumi ang mga asong walang may ari.,5
Nasuka si Alyana sa amoy na nanggagaling sa kanal.,5
Si Tommy ay nandidiri sa amoy ng kanyang kapatid na naglalaro sa labas.,5
Napakaraming ipis ang nag liliparan sa kusina.,5
Si Princess ay nandidiri sa dumikit na kendi sa kanyang damit.,5
"""Eww! Ano ito?"" bulong ni Kiko nang madama ang malambot at malagkit na kumot.",5
Hindi kayang tapusin ni Ningning ang pagkain na amoy gulay na niluto ni Nanay.,5
"""Yak! Ang daya ng amoy ng bulaklak na ito,"" sabi ni Lily na kumukunot ang noo.",5
Si Kring-Kring ay kumunot ang noo nang matagpuan ang natunaw na sorbetes sa bulsa.,5
"""Kadiri naman itong kinain ko, sobrang maalat!"" reklamo ni Matsing.",5
"""Eeeww! Ang dilim-dilim ng kutsinta na ito,"" wika ni Gigi.",5
"""Uy, hindi masarap itong spaghetti, amoy kakaibang sangkap,"" reklamo ni Kyla.",5
"""Hindi ko gusto ang amoy ng lotion na ito, parang bulok na prutas,"" wika ni Janna.",5
"""Yuck! Ano itong amoy ng paborito kong pagkain? Parang may nagbago,"" bulong ni Bea.",5
"""Hindi ko kayang tikman ang ampalaya, amoy pait,"" sabi ni Raffy.",5
"""Kadiri ng lasa ng bagong lutong na tinapay, parang alikabok,"" bulong ni Enzo.",5
"""Ano itong kakaibang lasa ng ice cream na ito?"" tanong ni Pipay.",5
Ayaw niya mangamoy araw.,5
Si Dodong ay kumunot ang noo nang makita ang kulay kulay na gulay sa kanyang plato.,5
"""Hindi ko gusto ang amoy ng gatas na ito, parang may katiting na maasim,"" sabi ni Becca.",5
Si Jenny ay napakamot sa ilong nang maramdaman ang putok ng kanyang kapatid.,5
"""Ano ito, amoy itlog na may amag?"" tanong ni Lino.",5
Si Cheche ay napakamot sa ulo nang makatikim ng sobrang maasim na manggang hilaw.,5
"""Kadiri ang lasa ng ampalaya!""",5
"""Eww! Ang baho ng basura!""",5
"""Yuck! Ang dumikit na kendi sa sahig!""",5
"""Kadiri! Huwag mong gawin 'yan!""",5
"""Grabe, ang dumi ng inidoro!""",5
"""Ay, kadiri! May uod sa itlog!""",5
"""Blech, may kuto 'yung alaga kong pusa!""",5
"""Ang lansa ng amoy!""",5
"""Kadiri, may lumabas na sipon sa ilong ni Ate.""",5
"""Yak, natapakan ko 'yung tae ng aso.""",5
Malayo na sila sa palasyo ni Herodes nang biglang magliwanag ang langit "Hayun ang mahiwagang tala!" sigaw ng tatlo.,6
Mas lalo ba siyang pumuti?,6
Nagtampo na ba ang kaniyang mga ngiti?,6
Pambihira!,6
"Che-che, may sorpresa ako sa iyo!",6
Laking gulat ni Poknoy Palaka sa naging reaksiyon ng prinsesa.,6
Nagising ang lahat at nagulat sa lakas ng ugong at siklab.,6
Nagulat siya nang ang kinagat ay matigas.,6
"Pero, nagkamali siya!",6
Nanlaki nang husto ang mga mata ng Datu.,6
"Isang araw, biglang bumuhos ang ulan.",6
"Naku, bagyo yata! ang sigaw ni Langgam.",6
Nang marinig niya ang isang matamis na tinig.,6
Sino ka? tanong niya.,6
"Nang magpunta si Tiya Justa sa batis, nahuli niya ang dalawang nag-uusap.",6
Biglang may tumubong marikit na punongkahoy at nagsalita,6
Biglang nakabihis na si Maria at isang karwaheng hila ng mga puting kabayo ang naghihintay sa kaniyang sumakay.,6
Nagulat ang mga tao pagpasok ni Maria.,6
"Hindi sinasadya, napatingin sa orasan si Maria. Ilang saglit na lang at alas-dose na.",6
Mabilis na tumakbo palabas ng palasyo si Maria.,6
Hinabol siya ng nagtatakang Prinsipe ngunit nawala sa dilim si Maria.,6
Anupa't nang isuot ang sapatos ay kasyang-kasya ito sa paa ni Maria!,6
Hinimatay sa gulat ang masungit na si Tiya Justa.,6
Hinimatay din sa sama ng loob at malaking inggit sina Juanita at Jovita.,6
Sino ka?!?,6
Nanlaki ang mata ng sakim na datu.,6
Lalong nanlaki ang mga mata ng Datu sa sinabi ni Pilandok.,6
Lumabas ang ikatlong butil ng ginto!,6
Laking gulat niya pagpasok sa silid.,6
"Bakit? gulat na tanong ni Putot,",6
Nakapagtago agad si Pikpakbum.,6
Nagising siya at nakarinig ng "TWIT! TWIT! TWIT!",6
"Nakarinig siya ng
""NGIYAAAW! NGIYAAAW! NGIYAAAW!""",6
Nakarinig siya ng "AW! AW! AW!",6
Nakarinig siya ng "POT! POT! POT!",6
Nagising nang tuluyan si Beybi Dan!,6
Wala siyang kamalay-malay na habang natutulog ay may dalawang dwende na lumitaw sa kanyang gawaan.,6
Gulat na gulat si Donillo nang makita ang pares ng sapatos.,6
"""Paano nangyari ito?"" sabi niya habang sinusuri ang sapatos.",6
Nang magising si Donillo para gawin ang ma sapatos ay muli siyang nasorpresa.,6
Nagulat pa ang babae nang sabihin niyang wala silang utang at marami pang pera.,6
"""Paano nangyari?"" usisa ni Jelina.",6
"""Mga dwende pala sila!"" bulalas ni Jelina.",6
"""Hindi ko akalaing sila ang tumutulong sa atin,"" wika ni Donillo.",6
Lumabas sa pinagtataguan sina Donillo at Jelina. Nagulat ang dalawang dwende.,6
"""Brownout!? anong gulat ni Ching.",6
"Ngunit pagdilat niya, nag-iisa pa rin siya. Wala kahit isang anino ng maligno.",6
"Humakbang siyang dahan-dahan, at ?klonk!",6
May napansin din siyang kumikinang sa plato na nakapatong sa lamesita sa sala:,6
Nagulat si Mia sa handog sa kaniya.,6
"Pagdating sa palaruan, napakarami nang palamuti sa sombrero ni Mia!",6
Biglang umihip ang napakalakas na hangin.,6
Pero bigla siyang napasigaw:,6
"""Aruy! Aruy! Aruy! Ang daming tinik!"" ",6
